@relation 'LeukemiaData-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 24141 numeric
@attribute 8842 numeric
@attribute 56660 numeric
@attribute 2533 numeric
@attribute 3005 numeric
@attribute 911 numeric
@attribute 240 numeric
@attribute 9900 numeric
@attribute 971 numeric
@attribute 64231 numeric
@attribute 7102 numeric
@attribute 3205 numeric
@attribute 3956 numeric
@attribute 29802 numeric
@attribute 1490 numeric
@attribute 4211 numeric
@attribute 6925 numeric
@attribute 8115 numeric
@attribute 28951 numeric
@attribute 25924 numeric
@attribute 9886 numeric
@attribute 51299 numeric
@attribute 5464 numeric
@attribute 57523 numeric
@attribute 4086 numeric
@attribute 5101 numeric
@attribute 81698 numeric
@attribute 10007 numeric
@attribute 9590 numeric
@attribute 474344 numeric
@attribute 6039 numeric
@attribute 2195 numeric
@attribute 26011 numeric
@attribute 5087 numeric
@attribute 8835 numeric
@attribute 23040 numeric
@attribute 4778 numeric
@attribute 50852 numeric
@attribute 9578 numeric
@attribute 27445 numeric
@attribute 2289 numeric
@attribute 9124 numeric
@attribute 3613 numeric
@attribute 27242 numeric
@attribute 2004 numeric
@attribute 5796 numeric
@attribute 6328 numeric
@attribute 2791 numeric
@attribute 54360 numeric
@attribute 51284 numeric
@attribute 10964 numeric
@attribute 9467 numeric
@attribute 9623 numeric
@attribute 1612 numeric
@attribute 928 numeric
@attribute 60494 numeric
@attribute 9379 numeric
@attribute 7371 numeric
@attribute 8798 numeric
@attribute 2625 numeric
@attribute 10732 numeric
@attribute 3553 numeric
@attribute 23007 numeric
@attribute 55351 numeric
@attribute 51384 numeric
@attribute 2322 numeric
@attribute class {1,2,3,4,8}

@data
48.14316,20.183906,2.090027,532.981782,15.847434,33.052531,37.957192,55.6889,4.395054,58.819601,752.520222,501.106591,7.03236,7.437643,1.134794,348.04177,207.019372,35.847199,288.221932,2.228855,44.505641,32.257463,709.378929,4.343038,86.498839,275.626887,15.325201,35.799865,219.085952,138.860578,61.020471,847.193336,24.199855,26.887775,499.209373,389.406435,31.540449,147.001906,2.082385,39.916456,1.665753,514.483621,35.500924,142.365319,4.248418,333.99682,96.4388,0.879486,33.970847,2.580176,25.282044,185.228956,32.88457,132.234115,7.371086,8.972229,23.06125,126.835562,99.768707,2676.202225,513.060745,69.367045,19.688316,2.864596,20.395381,62.929416,8
31.192032,10.266145,0.514697,109.286133,71.661215,65.664403,88.562019,3.284916,6.120065,63.494446,63.366599,7.929259,66.969821,24.91115,0.909648,10.400539,57.174705,113.001098,78.71161,1.280887,12.902048,13.859894,234.76739,2.194317,38.573241,121.509796,8.697402,11.735641,111.327107,40.355554,23.982982,79.863498,4.172925,8.173802,27.370115,31.162449,88.829127,47.205626,1.155301,12.268666,4.560394,42.81676,46.675661,10.742743,24.160749,23.370055,1.987826,0.581149,15.65527,5.23806,5.280153,58.08897,8.481095,64.227063,7.914464,8.971813,2.357793,30.839384,26.721071,112.966603,31.11553,45.946188,24.412423,1.751621,12.433546,23.910687,8
1.452976,140.327856,41.110957,9.331827,8.573438,30.061398,392.46733,12.384792,28.825542,172.091004,69.695041,3.523466,32.916094,198.733285,196.978449,5.346386,468.174089,1726.66024,36.93814,7.691269,0.642423,25.024482,128.752603,0.769283,71.097787,8.203357,7.724496,3.957558,2.684253,9.646435,9.642833,6.778433,4.265914,5.167137,503.219747,1.60311,48.32176,0.715046,4.517648,8.583853,19.413608,589.567251,21.903789,1.916419,274.752632,1.841632,0.650374,5.36048,66.477747,9.573136,13.158907,334.749626,4.792998,65.444819,434.695061,34.52243,0.774326,28.957451,24.56194,13.782596,32.031688,159.046964,31.388186,128.429791,6.25512,155.119047,1
4.344238,20.632949,7.889684,80.118251,515.316569,12.638714,419.177443,1.920576,38.926016,12.835738,137.19745,3.930306,7.830875,851.412323,508.930272,2.803436,638.0018,907.275411,22.701623,1.121031,1.876576,76.924708,123.382969,6.6188,792.373211,67.609342,16.795861,21.57952,156.055267,31.743788,84.580098,22.490132,42.15207,10.798873,989.071617,8.392298,14.83993,14.454257,0.392941,737.575205,0.734691,85.699064,10.421767,294.809,705.150155,253.873569,449.564849,83.880585,8.220471,7.700946,16.98266,14.386056,1266.223164,15.010173,271.307092,1.932832,3.148283,0.537686,7.452487,20.57535,774.095391,57.165224,6.582187,464.021609,10.715691,107.721445,3
6.628658,429.454907,136.623529,27.430118,169.970295,156.651832,740.871502,38.568348,168.444702,920.834349,139.372427,7.509624,25.305003,573.293027,502.953322,0.871618,812.78688,4158.717657,64.177029,6.700528,0.919294,33.17887,380.828353,5.345907,477.631385,26.359845,2.982963,2.085629,9.69366,27.907628,65.475314,8.345347,1.773358,15.306836,1082.734588,175.310242,97.864398,11.24877,124.312455,16.878113,239.791165,1867.281784,107.992951,23.936246,718.8165,15.836798,2.005473,15.276632,483.988171,30.81494,135.510844,800.525254,25.859028,192.470941,963.776046,154.850233,37.058673,95.63027,105.598889,34.290957,97.909897,391.401397,119.111551,304.024729,21.034383,870.643239,1
66.961584,169.602987,1.569841,180.457147,28.195324,3.113567,31.512427,56.915023,11.084537,49.679692,224.585497,189.560506,926.093492,26.220854,175.132216,97.006211,21.303516,78.550493,460.99244,3.307513,31.593368,18.494604,364.743441,14.672111,300.162092,33.109072,18.958245,18.400539,14.032174,293.116946,1.691991,19.038629,5.512693,55.038778,84.092463,103.630299,272.43564,38.469251,15.083995,17.347578,69.839531,54.087497,72.531489,43.93421,102.129891,59.425731,151.527076,12.128286,27.899397,1.177913,2.013327,104.905061,26.542174,284.903299,5.385958,16.250613,68.897956,83.406687,19.806609,405.476704,59.951077,121.440573,13.291006,2.334931,27.54048,183.357158,8
134.720587,64.632073,23.325175,5.194919,14.631449,0.362458,7.146137,0.805039,48.557613,14.592501,3.635619,59.218205,280.895041,27.851478,88.210387,26.64352,16.487869,181.790699,9.16363,0.595505,6.731986,4.335066,45.548949,2.467147,0.82522,21.675913,3.274341,0.672471,6.456315,3.609784,13.741633,7.340698,0.558921,6.026211,233.184707,2.596846,9.952376,1.245145,0.1787,3.387198,10.091168,78.345758,5.646786,3.445689,5.80257,4.410102,2.831498,0.680693,0.962494,8.387469,24.501088,16.206973,1.905034,3.103905,36.88571,12.95482,8.766248,29.165278,4.477129,17.827133,11.159814,21.012189,1.160591,1.281339,3.891549,110.542705,4
2.52766,69.207751,3.613246,355.645477,49.534011,95.925166,22.642076,10.390335,1.73786,33.598914,622.483594,1.483949,7.899813,18.520657,7.671749,10.593472,32.811735,48.912718,704.741379,14.162084,41.183326,119.632094,560.499078,0.702134,78.50619,28.416951,1.371048,60.007333,26.502329,474.304519,310.32857,20.225724,4.286002,19.336643,22.81687,18.196309,140.02803,464.989987,1.187179,10.825738,13.998676,721.035513,3.017444,6.543049,9.100508,136.378759,426.900318,0.789499,2.465789,1.337922,1.322598,559.53865,13.820549,424.891084,0.761421,8.731259,49.058732,245.481636,80.033878,730.560465,201.407209,23.541116,190.41537,2.367908,13.404152,16.325879,8
7.139315,28.808075,42.565311,101.723163,195.241851,28.862003,401.350932,2.604599,74.089728,29.99494,134.97299,1.166687,47.971154,764.905603,182.439476,4.178757,703.176613,1850.478215,40.028003,12.180504,18.08889,702.282217,112.316164,13.41573,474.74778,276.761744,22.407725,36.158142,220.075078,37.354549,23.000231,65.549931,20.376123,20.594731,643.801445,1.127842,101.743968,18.547664,0.977687,72.231068,2.526662,106.849724,44.9758,231.881498,409.332203,235.555775,177.957331,121.137362,102.41353,4.177682,29.177646,60.854187,33.393183,178.655104,92.878142,11.467638,1.2112,30.361437,27.210705,76.396746,641.177488,149.493169,29.82114,378.217198,15.289746,70.562847,3
13.597188,29.910387,129.774304,34.260971,27.896126,117.278933,386.695105,4.964695,88.829096,60.32546,109.502563,9.651047,10.420034,642.729909,40.089874,8.98841,666.980828,3258.583673,85.645071,8.85169,1.225342,19.103332,140.011236,1.536775,165.483212,456.446786,8.437536,2.707676,54.617356,12.870215,12.390523,8.995328,4.022484,6.616368,461.379821,67.739982,27.345574,9.432267,14.998233,15.544077,17.99237,363.04524,20.827006,11.929507,435.787951,7.078315,0.512096,1.402193,122.333341,3.066838,109.0599,533.202562,2.778557,132.495384,486.535098,18.57669,7.236553,15.153178,35.549754,23.340018,74.549305,265.512311,19.172823,224.036993,7.74621,467.789786,1
